date,rate,direction
2016-01-04,1.0898,EUR_TO_USD
2016-01-05,1.0746,EUR_TO_USD
2016-01-06,1.0742,EUR_TO_USD
2016-01-07,1.0868,EUR_TO_USD
2016-01-08,1.0861,EUR_TO_USD
2016-01-11,1.0888,EUR_TO_USD
2016-01-12,1.0836,EUR_TO_USD
2016-01-13,1.0816,EUR_TO_USD
2016-01-14,1.0893,EUR_TO_USD
2016-01-15,1.0914,EUR_TO_USD
2016-01-18,1.0892,EUR_TO_USD
2016-01-19,1.0868,EUR_TO_USD
2016-01-20,1.0907,EUR_TO_USD
2016-01-21,1.0893,EUR_TO_USD
2016-01-22,1.0808,EUR_TO_USD
2016-01-25,1.0815,EUR_TO_USD
2016-01-26,1.0837,EUR_TO_USD
2016-01-27,1.0888,EUR_TO_USD
2016-01-28,1.0903,EUR_TO_USD
2016-01-29,1.092,EUR_TO_USD
2016-02-01,1.0884,EUR_TO_USD
2016-02-02,1.0919,EUR_TO_USD
2016-02-03,1.0933,EUR_TO_USD
2016-02-04,1.1206,EUR_TO_USD
2016-02-05,1.1202,EUR_TO_USD
2016-02-08,1.1101,EUR_TO_USD
2016-02-09,1.1236,EUR_TO_USD
2016-02-10,1.1257,EUR_TO_USD
2016-02-11,1.1347,EUR_TO_USD
2016-02-12,1.1275,EUR_TO_USD
2016-02-15,1.118,EUR_TO_USD
2016-02-16,1.1166,EUR_TO_USD
2016-02-17,1.1136,EUR_TO_USD
2016-02-18,1.1084,EUR_TO_USD
2016-02-19,1.1096,EUR_TO_USD
2016-02-22,1.1026,EUR_TO_USD
2016-02-23,1.1002,EUR_TO_USD
2016-02-24,1.0981,EUR_TO_USD
2016-02-25,1.1027,EUR_TO_USD
2016-02-26,1.1006,EUR_TO_USD
2016-02-29,1.0888,EUR_TO_USD
2016-03-01,1.0872,EUR_TO_USD
2016-03-02,1.0856,EUR_TO_USD
2016-03-03,1.0901,EUR_TO_USD
2016-03-04,1.097,EUR_TO_USD
2016-03-07,1.0953,EUR_TO_USD
2016-03-08,1.1028,EUR_TO_USD
2016-03-09,1.0973,EUR_TO_USD
2016-03-10,1.0857,EUR_TO_USD
2016-03-11,1.109,EUR_TO_USD
2016-03-14,1.1119,EUR_TO_USD
2016-03-15,1.1109,EUR_TO_USD
2016-03-16,1.1064,EUR_TO_USD
2016-03-17,1.1311,EUR_TO_USD
