date,rate,direction
2014-01-02,1.3658,EUR_TO_USD
2014-01-03,1.3634,EUR_TO_USD
2014-01-06,1.3602,EUR_TO_USD
2014-01-07,1.3641,EUR_TO_USD
2014-01-08,1.3594,EUR_TO_USD
2014-01-09,1.3612,EUR_TO_USD
2014-01-10,1.3587,EUR_TO_USD
2014-01-13,1.3654,EUR_TO_USD
2014-01-14,1.3667,EUR_TO_USD
2014-01-15,1.3606,EUR_TO_USD
2014-01-16,1.3597,EUR_TO_USD
2014-01-17,1.3584,EUR_TO_USD
2014-01-20,1.3566,EUR_TO_USD
2014-01-21,1.3526,EUR_TO_USD
2014-01-22,1.3566,EUR_TO_USD
2014-01-23,1.3639,EUR_TO_USD
2014-01-24,1.3687,EUR_TO_USD
2014-01-27,1.3658,EUR_TO_USD
2014-01-28,1.3649,EUR_TO_USD
2014-01-29,1.3608,EUR_TO_USD
2014-01-30,1.3574,EUR_TO_USD
2014-01-31,1.3516,EUR_TO_USD
2014-02-03,1.3498,EUR_TO_USD
2014-02-04,1.3519,EUR_TO_USD
2014-02-05,1.3543,EUR_TO_USD
2014-02-06,1.3495,EUR_TO_USD
2014-02-07,1.3574,EUR_TO_USD
2014-02-10,1.3638,EUR_TO_USD
2014-02-11,1.3676,EUR_TO_USD
2014-02-12,1.3573,EUR_TO_USD
2014-02-13,1.3675,EUR_TO_USD
2014-02-14,1.3707,EUR_TO_USD
2014-02-17,1.3699,EUR_TO_USD
2014-02-18,1.3731,EUR_TO_USD
2014-02-19,1.3745,EUR_TO_USD
2014-02-20,1.3706,EUR_TO_USD
2014-02-21,1.3707,EUR_TO_USD
2014-02-24,1.3735,EUR_TO_USD
2014-02-25,1.3754,EUR_TO_USD
2014-02-26,1.3726,EUR_TO_USD
2014-02-27,1.3656,EUR_TO_USD
2014-02-28,1.3813,EUR_TO_USD
2014-03-03,1.3768,EUR_TO_USD
2014-03-04,1.3768,EUR_TO_USD
2014-03-05,1.3732,EUR_TO_USD
2014-03-06,1.3745,EUR_TO_USD
2014-03-07,1.3894,EUR_TO_USD
2014-03-10,1.3881,EUR_TO_USD
2014-03-11,1.385,EUR_TO_USD
2014-03-12,1.3887,EUR_TO_USD
2014-03-13,1.3942,EUR_TO_USD
2014-03-14,1.3884,EUR_TO_USD
2014-03-17,1.3906,EUR_TO_USD
2014-03-18,1.3902,EUR_TO_USD
2014-03-19,1.3913,EUR_TO_USD
2014-03-20,1.3762,EUR_TO_USD
2014-03-21,1.378,EUR_TO_USD
2014-03-24,1.3774,EUR_TO_USD
2014-03-25,1.3789,EUR_TO_USD
2014-03-26,1.3791,EUR_TO_USD
2014-03-27,1.3758,EUR_TO_USD
2014-03-28,1.3759,EUR_TO_USD
2014-03-31,1.3788,EUR_TO_USD
2014-04-01,1.379,EUR_TO_USD
2014-04-02,1.3795,EUR_TO_USD
2014-04-03,1.3771,EUR_TO_USD
2014-04-04,1.37,EUR_TO_USD
2014-04-07,1.3723,EUR_TO_USD
2014-04-08,1.3774,EUR_TO_USD
2014-04-09,1.3794,EUR_TO_USD
2014-04-10,1.3867,EUR_TO_USD
2014-04-11,1.3872,EUR_TO_USD
2014-04-14,1.3827,EUR_TO_USD
2014-04-15,1.3803,EUR_TO_USD
2014-04-16,1.384,EUR_TO_USD
2014-04-17,1.3855,EUR_TO_USD
2014-04-22,1.3817,EUR_TO_USD
2014-04-23,1.3834,EUR_TO_USD
2014-04-24,1.382,EUR_TO_USD
2014-04-25,1.3831,EUR_TO_USD
2014-04-28,1.3861,EUR_TO_USD
2014-04-29,1.3826,EUR_TO_USD
2014-04-30,1.385,EUR_TO_USD
2014-05-02,1.3862,EUR_TO_USD
2014-05-05,1.3874,EUR_TO_USD
2014-05-06,1.3945,EUR_TO_USD
2014-05-07,1.3927,EUR_TO_USD
2014-05-08,1.3953,EUR_TO_USD
2014-05-09,1.3781,EUR_TO_USD
2014-05-12,1.3765,EUR_TO_USD
2014-05-13,1.3703,EUR_TO_USD
2014-05-14,1.3719,EUR_TO_USD
2014-05-15,1.3659,EUR_TO_USD
2014-05-16,1.3696,EUR_TO_USD
2014-05-19,1.3715,EUR_TO_USD
2014-05-20,1.3702,EUR_TO_USD
2014-05-21,1.3676,EUR_TO_USD
2014-05-22,1.3668,EUR_TO_USD
2014-05-23,1.363,EUR_TO_USD
2014-05-26,1.3635,EUR_TO_USD
2014-05-27,1.3638,EUR_TO_USD
2014-05-28,1.3608,EUR_TO_USD
2014-05-29,1.3612,EUR_TO_USD
2014-05-30,1.3607,EUR_TO_USD
2014-06-02,1.3611,EUR_TO_USD
2014-06-03,1.3645,EUR_TO_USD
2014-06-04,1.3627,EUR_TO_USD
2014-06-05,1.3567,EUR_TO_USD
2014-06-06,1.3642,EUR_TO_USD
2014-06-09,1.3608,EUR_TO_USD
2014-06-10,1.3547,EUR_TO_USD
2014-06-11,1.3547,EUR_TO_USD
2014-06-12,1.3528,EUR_TO_USD
2014-06-13,1.3534,EUR_TO_USD
2014-06-16,1.3532,EUR_TO_USD
2014-06-17,1.3568,EUR_TO_USD
2014-06-18,1.3563,EUR_TO_USD
2014-06-19,1.362,EUR_TO_USD
2014-06-20,1.3588,EUR_TO_USD
2014-06-23,1.3596,EUR_TO_USD
2014-06-24,1.3618,EUR_TO_USD
2014-06-25,1.3615,EUR_TO_USD
2014-06-26,1.3606,EUR_TO_USD
2014-06-27,1.362,EUR_TO_USD
2014-06-30,1.3658,EUR_TO_USD
2014-07-01,1.3688,EUR_TO_USD
2014-07-02,1.3656,EUR_TO_USD
2014-07-03,1.3646,EUR_TO_USD
2014-07-04,1.3588,EUR_TO_USD
2014-07-07,1.3592,EUR_TO_USD
2014-07-08,1.3589,EUR_TO_USD
2014-07-09,1.3603,EUR_TO_USD
2014-07-10,1.3604,EUR_TO_USD
2014-07-11,1.3595,EUR_TO_USD
2014-07-14,1.3627,EUR_TO_USD
2014-07-15,1.3613,EUR_TO_USD
2014-07-16,1.3532,EUR_TO_USD
2014-07-17,1.3525,EUR_TO_USD
2014-07-18,1.3525,EUR_TO_USD
2014-07-21,1.3518,EUR_TO_USD
2014-07-22,1.3481,EUR_TO_USD
2014-07-23,1.3465,EUR_TO_USD
2014-07-24,1.3472,EUR_TO_USD
2014-07-25,1.344,EUR_TO_USD
2014-07-28,1.3433,EUR_TO_USD
2014-07-29,1.3429,EUR_TO_USD
2014-07-30,1.3401,EUR_TO_USD
2014-07-31,1.3379,EUR_TO_USD
2014-08-01,1.3395,EUR_TO_USD
2014-08-04,1.3422,EUR_TO_USD
2014-08-05,1.3382,EUR_TO_USD
2014-08-06,1.3345,EUR_TO_USD
2014-08-07,1.3368,EUR_TO_USD
2014-08-08,1.3388,EUR_TO_USD
2014-08-11,1.3386,EUR_TO_USD
2014-08-12,1.3346,EUR_TO_USD
