date,rate,direction
2019-01-02,1.1397,EUR_TO_USD
2019-01-03,1.1348,EUR_TO_USD
2019-01-04,1.1403,EUR_TO_USD
2019-01-07,1.1445,EUR_TO_USD
2019-01-08,1.144,EUR_TO_USD
2019-01-09,1.1455,EUR_TO_USD
2019-01-10,1.1535,EUR_TO_USD
2019-01-11,1.1533,EUR_TO_USD
2019-01-14,1.1467,EUR_TO_USD
2019-01-15,1.1424,EUR_TO_USD
2019-01-16,1.1389,EUR_TO_USD
2019-01-17,1.1396,EUR_TO_USD
2019-01-18,1.1402,EUR_TO_USD
2019-01-21,1.1362,EUR_TO_USD
2019-01-22,1.1354,EUR_TO_USD
2019-01-23,1.1367,EUR_TO_USD
2019-01-24,1.1341,EUR_TO_USD
2019-01-25,1.1346,EUR_TO_USD
2019-01-28,1.1418,EUR_TO_USD
2019-01-29,1.1422,EUR_TO_USD
2019-01-30,1.1429,EUR_TO_USD
2019-01-31,1.1488,EUR_TO_USD
2019-02-01,1.1471,EUR_TO_USD
2019-02-04,1.1445,EUR_TO_USD
2019-02-05,1.1423,EUR_TO_USD
2019-02-06,1.1394,EUR_TO_USD
2019-02-07,1.1345,EUR_TO_USD
2019-02-08,1.1346,EUR_TO_USD
2019-02-11,1.1309,EUR_TO_USD
2019-02-12,1.1296,EUR_TO_USD
2019-02-13,1.1305,EUR_TO_USD
2019-02-14,1.1268,EUR_TO_USD
2019-02-15,1.126,EUR_TO_USD
2019-02-18,1.1328,EUR_TO_USD
2019-02-19,1.1294,EUR_TO_USD
2019-02-20,1.1342,EUR_TO_USD
2019-02-21,1.1354,EUR_TO_USD
2019-02-22,1.1325,EUR_TO_USD
2019-02-25,1.1355,EUR_TO_USD
2019-02-26,1.1361,EUR_TO_USD
2019-02-27,1.1386,EUR_TO_USD
2019-02-28,1.1416,EUR_TO_USD
2019-03-01,1.1383,EUR_TO_USD
2019-03-04,1.1337,EUR_TO_USD
2019-03-05,1.1329,EUR_TO_USD
2019-03-06,1.1305,EUR_TO_USD
2019-03-07,1.1271,EUR_TO_USD
2019-03-08,1.1222,EUR_TO_USD
2019-03-11,1.1244,EUR_TO_USD
2019-03-12,1.1275,EUR_TO_USD
2019-03-13,1.1303,EUR_TO_USD
2019-03-14,1.1295,EUR_TO_USD
2019-03-15,1.1308,EUR_TO_USD
2019-03-18,1.1349,EUR_TO_USD
2019-03-19,1.1358,EUR_TO_USD
2019-03-20,1.1354,EUR_TO_USD
2019-03-21,1.1387,EUR_TO_USD
2019-03-22,1.1302,EUR_TO_USD
2019-03-25,1.1325,EUR_TO_USD
2019-03-26,1.1291,EUR_TO_USD
2019-03-27,1.1261,EUR_TO_USD
2019-03-28,1.1218,EUR_TO_USD
2019-03-29,1.1235,EUR_TO_USD
2019-04-01,1.1236,EUR_TO_USD
2019-04-02,1.12,EUR_TO_USD
2019-04-03,1.1243,EUR_TO_USD
2019-04-04,1.1219,EUR_TO_USD
2019-04-05,1.1233,EUR_TO_USD
2019-04-08,1.1246,EUR_TO_USD
2019-04-09,1.1277,EUR_TO_USD
2019-04-10,1.1279,EUR_TO_USD
2019-04-11,1.1264,EUR_TO_USD
2019-04-12,1.1321,EUR_TO_USD
2019-04-15,1.1313,EUR_TO_USD
2019-04-16,1.1305,EUR_TO_USD
2019-04-17,1.1301,EUR_TO_USD
2019-04-18,1.125,EUR_TO_USD
2019-04-23,1.1245,EUR_TO_USD
2019-04-24,1.1209,EUR_TO_USD
2019-04-25,1.1123,EUR_TO_USD
2019-04-26,1.1133,EUR_TO_USD
2019-04-29,1.115,EUR_TO_USD
2019-04-30,1.1218,EUR_TO_USD
2019-05-02,1.1212,EUR_TO_USD
2019-05-03,1.1155,EUR_TO_USD
2019-05-06,1.1199,EUR_TO_USD
2019-05-07,1.1185,EUR_TO_USD
2019-05-08,1.1202,EUR_TO_USD
2019-05-09,1.1193,EUR_TO_USD
2019-05-10,1.123,EUR_TO_USD
2019-05-13,1.1245,EUR_TO_USD
2019-05-14,1.1226,EUR_TO_USD
2019-05-15,1.1183,EUR_TO_USD
2019-05-16,1.1203,EUR_TO_USD
2019-05-17,1.1172,EUR_TO_USD
2019-05-20,1.1167,EUR_TO_USD
2019-05-21,1.1161,EUR_TO_USD
2019-05-22,1.1171,EUR_TO_USD
2019-05-23,1.1139,EUR_TO_USD
2019-05-24,1.1187,EUR_TO_USD
2019-05-27,1.1198,EUR_TO_USD
2019-05-28,1.1192,EUR_TO_USD
2019-05-29,1.1156,EUR_TO_USD
2019-05-30,1.1134,EUR_TO_USD
2019-05-31,1.1151,EUR_TO_USD
2019-06-03,1.1185,EUR_TO_USD
2019-06-04,1.1244,EUR_TO_USD
2019-06-05,1.1257,EUR_TO_USD
2019-06-06,1.1266,EUR_TO_USD
2019-06-07,1.1273,EUR_TO_USD
2019-06-10,1.1301,EUR_TO_USD
2019-06-11,1.132,EUR_TO_USD
2019-06-12,1.1323,EUR_TO_USD
2019-06-13,1.1289,EUR_TO_USD
2019-06-14,1.1265,EUR_TO_USD
2019-06-17,1.1234,EUR_TO_USD
2019-06-18,1.1187,EUR_TO_USD
2019-06-19,1.1207,EUR_TO_USD
2019-06-20,1.1307,EUR_TO_USD
2019-06-21,1.1316,EUR_TO_USD
2019-06-24,1.1394,EUR_TO_USD
2019-06-25,1.1388,EUR_TO_USD
2019-06-26,1.1362,EUR_TO_USD
2019-06-27,1.137,EUR_TO_USD
2019-06-28,1.138,EUR_TO_USD
2019-07-01,1.1349,EUR_TO_USD
2019-07-02,1.1301,EUR_TO_USD
2019-07-03,1.1293,EUR_TO_USD
2019-07-04,1.1288,EUR_TO_USD
2019-07-05,1.126,EUR_TO_USD
2019-07-08,1.1215,EUR_TO_USD
2019-07-09,1.1205,EUR_TO_USD
2019-07-10,1.122,EUR_TO_USD
2019-07-11,1.1285,EUR_TO_USD
2019-07-12,1.1253,EUR_TO_USD
2019-07-15,1.1269,EUR_TO_USD
2019-07-16,1.1223,EUR_TO_USD
2019-07-17,1.1215,EUR_TO_USD
2019-07-18,1.1216,EUR_TO_USD
2019-07-19,1.1226,EUR_TO_USD
2019-07-22,1.1215,EUR_TO_USD
2019-07-23,1.1173,EUR_TO_USD
2019-07-24,1.114,EUR_TO_USD
2019-07-25,1.1115,EUR_TO_USD
2019-07-26,1.1138,EUR_TO_USD
2019-07-29,1.1119,EUR_TO_USD
2019-07-30,1.1154,EUR_TO_USD
2019-07-31,1.1151,EUR_TO_USD
2019-08-01,1.1037,EUR_TO_USD
2019-08-02,1.1106,EUR_TO_USD
2019-08-05,1.1182,EUR_TO_USD
2019-08-06,1.1187,EUR_TO_USD
2019-08-07,1.1202,EUR_TO_USD
2019-08-08,1.1193,EUR_TO_USD
2019-08-09,1.1198,EUR_TO_USD
2019-08-12,1.1194,EUR_TO_USD
2019-08-13,1.1222,EUR_TO_USD
2019-08-14,1.1188,EUR_TO_USD
2019-08-15,1.115,EUR_TO_USD
2019-08-16,1.1076,EUR_TO_USD
2019-08-19,1.1103,EUR_TO_USD
2019-08-20,1.1076,EUR_TO_USD
2019-08-21,1.1104,EUR_TO_USD
2019-08-22,1.1083,EUR_TO_USD
2019-08-23,1.1065,EUR_TO_USD
2019-08-26,1.1116,EUR_TO_USD
2019-08-27,1.1104,EUR_TO_USD
2019-08-28,1.1083,EUR_TO_USD
2019-08-29,1.1072,EUR_TO_USD
2019-08-30,1.1036,EUR_TO_USD
2019-09-02,1.0968,EUR_TO_USD
2019-09-03,1.0937,EUR_TO_USD
2019-09-04,1.1018,EUR_TO_USD
2019-09-05,1.1058,EUR_TO_USD
2019-09-06,1.1027,EUR_TO_USD
2019-09-09,1.1033,EUR_TO_USD
2019-09-10,1.104,EUR_TO_USD
2019-09-11,1.1003,EUR_TO_USD
2019-09-12,1.0963,EUR_TO_USD
2019-09-13,1.1096,EUR_TO_USD
2019-09-16,1.1031,EUR_TO_USD
2019-09-17,1.1026,EUR_TO_USD
2019-09-18,1.1053,EUR_TO_USD
2019-09-19,1.1067,EUR_TO_USD
2019-09-20,1.103,EUR_TO_USD
2019-09-23,1.0985,EUR_TO_USD
2019-09-24,1.1003,EUR_TO_USD
2019-09-25,1.0982,EUR_TO_USD
2019-09-26,1.0938,EUR_TO_USD
2019-09-27,1.0935,EUR_TO_USD
2019-09-30,1.0889,EUR_TO_USD
2019-10-01,1.0898,EUR_TO_USD
2019-10-02,1.0925,EUR_TO_USD
2019-10-03,1.0951,EUR_TO_USD
2019-10-04,1.0979,EUR_TO_USD
2019-10-07,1.0993,EUR_TO_USD
2019-10-08,1.0986,EUR_TO_USD
2019-10-09,1.0981,EUR_TO_USD
2019-10-10,1.103,EUR_TO_USD
2019-10-11,1.1043,EUR_TO_USD
2019-10-14,1.1031,EUR_TO_USD
2019-10-15,1.1007,EUR_TO_USD
2019-10-16,1.1025,EUR_TO_USD
2019-10-17,1.1113,EUR_TO_USD
2019-10-18,1.1144,EUR_TO_USD
2019-10-21,1.1173,EUR_TO_USD
2019-10-22,1.113,EUR_TO_USD
2019-10-23,1.1123,EUR_TO_USD
2019-10-24,1.1128,EUR_TO_USD
2019-10-25,1.1107,EUR_TO_USD
2019-10-28,1.1087,EUR_TO_USD
2019-10-29,1.1095,EUR_TO_USD
2019-10-30,1.1106,EUR_TO_USD
2019-10-31,1.1154,EUR_TO_USD
2019-11-01,1.1139,EUR_TO_USD
2019-11-04,1.1158,EUR_TO_USD
2019-11-05,1.1109,EUR_TO_USD
2019-11-06,1.109,EUR_TO_USD
2019-11-07,1.1077,EUR_TO_USD
2019-11-08,1.1034,EUR_TO_USD
2019-11-11,1.1041,EUR_TO_USD
2019-11-12,1.1015,EUR_TO_USD
2019-11-13,1.1006,EUR_TO_USD
2019-11-14,1.0997,EUR_TO_USD
2019-11-15,1.1034,EUR_TO_USD
2019-11-18,1.1061,EUR_TO_USD
2019-11-19,1.1077,EUR_TO_USD
2019-11-20,1.1059,EUR_TO_USD
2019-11-21,1.1091,EUR_TO_USD
2019-11-22,1.1058,EUR_TO_USD
2019-11-25,1.1008,EUR_TO_USD
2019-11-26,1.102,EUR_TO_USD
2019-11-27,1.1009,EUR_TO_USD
2019-11-28,1.1005,EUR_TO_USD
2019-11-29,1.0982,EUR_TO_USD
2019-12-02,1.1023,EUR_TO_USD
2019-12-03,1.1071,EUR_TO_USD
2019-12-04,1.1081,EUR_TO_USD
2019-12-05,1.1094,EUR_TO_USD
2019-12-06,1.1094,EUR_TO_USD
2019-12-09,1.1075,EUR_TO_USD
2019-12-10,1.1077,EUR_TO_USD
2019-12-11,1.1075,EUR_TO_USD
2019-12-12,1.1137,EUR_TO_USD
2019-12-13,1.1174,EUR_TO_USD
2019-12-16,1.1146,EUR_TO_USD
2019-12-17,1.1162,EUR_TO_USD
2019-12-18,1.1115,EUR_TO_USD
2019-12-19,1.1117,EUR_TO_USD
2019-12-20,1.1097,EUR_TO_USD
2019-12-23,1.1075,EUR_TO_USD
2019-12-24,1.108,EUR_TO_USD
2019-12-27,1.1153,EUR_TO_USD
2019-12-30,1.1189,EUR_TO_USD
2019-12-31,1.1234,EUR_TO_USD
