date,rate,direction
2017-01-02,1.0465,EUR_TO_USD
2017-01-03,1.0385,EUR_TO_USD
2017-01-04,1.0437,EUR_TO_USD
2017-01-05,1.0501,EUR_TO_USD
2017-01-06,1.0589,EUR_TO_USD
2017-01-09,1.0516,EUR_TO_USD
2017-01-10,1.0567,EUR_TO_USD
2017-01-11,1.0503,EUR_TO_USD
2017-01-12,1.0679,EUR_TO_USD
2017-01-13,1.0661,EUR_TO_USD
2017-01-16,1.0594,EUR_TO_USD
2017-01-17,1.0684,EUR_TO_USD
2017-01-18,1.0664,EUR_TO_USD
2017-01-19,1.0668,EUR_TO_USD
2017-01-20,1.0632,EUR_TO_USD
2017-01-23,1.0715,EUR_TO_USD
2017-01-24,1.0748,EUR_TO_USD
2017-01-25,1.0743,EUR_TO_USD
2017-01-26,1.07,EUR_TO_USD
2017-01-27,1.0681,EUR_TO_USD
2017-01-30,1.063,EUR_TO_USD
2017-01-31,1.0755,EUR_TO_USD
2017-02-01,1.079,EUR_TO_USD
2017-02-02,1.0808,EUR_TO_USD
2017-02-03,1.0741,EUR_TO_USD
2017-02-06,1.0712,EUR_TO_USD
2017-02-07,1.0675,EUR_TO_USD
2017-02-08,1.0665,EUR_TO_USD
2017-02-09,1.0692,EUR_TO_USD
2017-02-10,1.0629,EUR_TO_USD
2017-02-13,1.0629,EUR_TO_USD
2017-02-14,1.0623,EUR_TO_USD
2017-02-15,1.0555,EUR_TO_USD
2017-02-16,1.0652,EUR_TO_USD
2017-02-17,1.065,EUR_TO_USD
2017-02-20,1.0616,EUR_TO_USD
2017-02-21,1.0537,EUR_TO_USD
2017-02-22,1.0513,EUR_TO_USD
2017-02-23,1.0573,EUR_TO_USD
2017-02-24,1.0609,EUR_TO_USD
2017-02-27,1.0587,EUR_TO_USD
2017-02-28,1.0597,EUR_TO_USD
2017-03-01,1.0533,EUR_TO_USD
2017-03-02,1.0514,EUR_TO_USD
2017-03-03,1.0565,EUR_TO_USD
2017-03-06,1.0592,EUR_TO_USD
2017-03-07,1.0576,EUR_TO_USD
2017-03-08,1.0556,EUR_TO_USD
2017-03-09,1.0551,EUR_TO_USD
2017-03-10,1.0606,EUR_TO_USD
2017-03-13,1.0663,EUR_TO_USD
2017-03-14,1.0631,EUR_TO_USD
2017-03-15,1.0622,EUR_TO_USD
2017-03-16,1.0726,EUR_TO_USD
2017-03-17,1.0737,EUR_TO_USD
2017-03-20,1.0752,EUR_TO_USD
2017-03-21,1.0802,EUR_TO_USD
2017-03-22,1.0807,EUR_TO_USD
2017-03-23,1.0786,EUR_TO_USD
2017-03-24,1.0805,EUR_TO_USD
2017-03-27,1.0889,EUR_TO_USD
2017-03-28,1.0859,EUR_TO_USD
2017-03-29,1.0748,EUR_TO_USD
2017-03-30,1.0737,EUR_TO_USD
2017-03-31,1.0691,EUR_TO_USD
