date,rate,direction
2011-01-03,1.3348,EUR_TO_USD
2011-01-04,1.3421,EUR_TO_USD
2011-01-05,1.3213,EUR_TO_USD
2011-01-06,1.3091,EUR_TO_USD
2011-01-07,1.2961,EUR_TO_USD
2011-01-10,1.2903,EUR_TO_USD
2011-01-11,1.2948,EUR_TO_USD
2011-01-12,1.2973,EUR_TO_USD
2011-01-13,1.3199,EUR_TO_USD
2011-01-14,1.3349,EUR_TO_USD
2011-01-17,1.3311,EUR_TO_USD
2011-01-18,1.3371,EUR_TO_USD
2011-01-19,1.3506,EUR_TO_USD
2011-01-20,1.3472,EUR_TO_USD
2011-01-21,1.3521,EUR_TO_USD
2011-01-24,1.3571,EUR_TO_USD
2011-01-25,1.3596,EUR_TO_USD
2011-01-26,1.3681,EUR_TO_USD
2011-01-27,1.3716,EUR_TO_USD
2011-01-28,1.371,EUR_TO_USD
2011-01-31,1.3692,EUR_TO_USD
2011-02-01,1.3755,EUR_TO_USD
2011-02-02,1.3803,EUR_TO_USD
2011-02-03,1.3745,EUR_TO_USD
2011-02-04,1.3631,EUR_TO_USD
2011-02-07,1.3553,EUR_TO_USD
2011-02-08,1.3635,EUR_TO_USD
2011-02-09,1.3647,EUR_TO_USD
2011-02-10,1.3604,EUR_TO_USD
2011-02-11,1.3524,EUR_TO_USD
2011-02-14,1.344,EUR_TO_USD
2011-02-15,1.351,EUR_TO_USD
2011-02-16,1.351,EUR_TO_USD
2011-02-17,1.356,EUR_TO_USD
2011-02-18,1.3627,EUR_TO_USD
2011-02-21,1.3668,EUR_TO_USD
2011-02-22,1.3667,EUR_TO_USD
2011-02-23,1.3731,EUR_TO_USD
2011-02-24,1.3773,EUR_TO_USD
2011-02-25,1.3762,EUR_TO_USD
2011-02-28,1.3834,EUR_TO_USD
2011-03-01,1.3825,EUR_TO_USD
2011-03-02,1.3809,EUR_TO_USD
2011-03-03,1.385,EUR_TO_USD
2011-03-04,1.3957,EUR_TO_USD
2011-03-07,1.4028,EUR_TO_USD
2011-03-08,1.3898,EUR_TO_USD
2011-03-09,1.3928,EUR_TO_USD
2011-03-10,1.3817,EUR_TO_USD
2011-03-11,1.3773,EUR_TO_USD
2011-03-14,1.3948,EUR_TO_USD
2011-03-15,1.3884,EUR_TO_USD
2011-03-16,1.3951,EUR_TO_USD
2011-03-17,1.4004,EUR_TO_USD
2011-03-18,1.413,EUR_TO_USD
2011-03-21,1.4194,EUR_TO_USD
2011-03-22,1.4211,EUR_TO_USD
2011-03-23,1.4136,EUR_TO_USD
2011-03-24,1.4128,EUR_TO_USD
2011-03-25,1.4115,EUR_TO_USD
2011-03-28,1.4032,EUR_TO_USD
2011-03-29,1.4066,EUR_TO_USD
2011-03-30,1.409,EUR_TO_USD
2011-03-31,1.4207,EUR_TO_USD
2011-04-01,1.4141,EUR_TO_USD
2011-04-04,1.424,EUR_TO_USD
2011-04-05,1.4166,EUR_TO_USD
2011-04-06,1.43,EUR_TO_USD
2011-04-07,1.4283,EUR_TO_USD
2011-04-08,1.4401,EUR_TO_USD
2011-04-11,1.4434,EUR_TO_USD
2011-04-12,1.447,EUR_TO_USD
2011-04-13,1.4493,EUR_TO_USD
2011-04-14,1.4401,EUR_TO_USD
2011-04-15,1.445,EUR_TO_USD
2011-04-18,1.4275,EUR_TO_USD
2011-04-19,1.4302,EUR_TO_USD
2011-04-20,1.4515,EUR_TO_USD
2011-04-21,1.4584,EUR_TO_USD
2011-04-26,1.4617,EUR_TO_USD
2011-04-27,1.4668,EUR_TO_USD
2011-04-28,1.4794,EUR_TO_USD
2011-04-29,1.486,EUR_TO_USD
2011-05-02,1.4837,EUR_TO_USD
2011-05-03,1.478,EUR_TO_USD
2011-05-04,1.4882,EUR_TO_USD
2011-05-05,1.4814,EUR_TO_USD
2011-05-06,1.4501,EUR_TO_USD
2011-05-09,1.4397,EUR_TO_USD
2011-05-10,1.4358,EUR_TO_USD
2011-05-11,1.4357,EUR_TO_USD
2011-05-12,1.4153,EUR_TO_USD
2011-05-13,1.428,EUR_TO_USD
2011-05-16,1.4143,EUR_TO_USD
2011-05-17,1.4171,EUR_TO_USD
2011-05-18,1.4227,EUR_TO_USD
2011-05-19,1.4265,EUR_TO_USD
2011-05-20,1.4237,EUR_TO_USD
2011-05-23,1.402,EUR_TO_USD
2011-05-24,1.4089,EUR_TO_USD
2011-05-25,1.4069,EUR_TO_USD
2011-05-26,1.4168,EUR_TO_USD
2011-05-27,1.4265,EUR_TO_USD
2011-05-30,1.4272,EUR_TO_USD
2011-05-31,1.4385,EUR_TO_USD
2011-06-01,1.4408,EUR_TO_USD
2011-06-02,1.446,EUR_TO_USD
2011-06-03,1.4488,EUR_TO_USD
2011-06-06,1.4596,EUR_TO_USD
2011-06-07,1.4652,EUR_TO_USD
2011-06-08,1.4608,EUR_TO_USD
2011-06-09,1.4614,EUR_TO_USD
2011-06-10,1.4486,EUR_TO_USD
2011-06-13,1.4354,EUR_TO_USD
2011-06-14,1.4448,EUR_TO_USD
2011-06-15,1.4292,EUR_TO_USD
2011-06-16,1.4088,EUR_TO_USD
2011-06-17,1.427,EUR_TO_USD
2011-06-20,1.4235,EUR_TO_USD
2011-06-21,1.4373,EUR_TO_USD
2011-06-22,1.4397,EUR_TO_USD
2011-06-23,1.4212,EUR_TO_USD
2011-06-24,1.422,EUR_TO_USD
2011-06-27,1.4205,EUR_TO_USD
2011-06-28,1.4261,EUR_TO_USD
2011-06-29,1.4425,EUR_TO_USD
2011-06-30,1.4453,EUR_TO_USD
2011-07-01,1.4488,EUR_TO_USD
2011-07-04,1.45,EUR_TO_USD
2011-07-05,1.4461,EUR_TO_USD
2011-07-06,1.4318,EUR_TO_USD
2011-07-07,1.4247,EUR_TO_USD
2011-07-08,1.4242,EUR_TO_USD
2011-07-11,1.4056,EUR_TO_USD
2011-07-12,1.3975,EUR_TO_USD
2011-07-13,1.4073,EUR_TO_USD
2011-07-14,1.4202,EUR_TO_USD
2011-07-15,1.4146,EUR_TO_USD
2011-07-18,1.4045,EUR_TO_USD
2011-07-19,1.416,EUR_TO_USD
2011-07-20,1.4207,EUR_TO_USD
2011-07-21,1.4222,EUR_TO_USD
2011-07-22,1.4391,EUR_TO_USD
2011-07-25,1.438,EUR_TO_USD
2011-07-26,1.4471,EUR_TO_USD
2011-07-27,1.4446,EUR_TO_USD
2011-07-28,1.426,EUR_TO_USD
2011-07-29,1.426,EUR_TO_USD
2011-08-01,1.4415,EUR_TO_USD
2011-08-02,1.417,EUR_TO_USD
2011-08-03,1.43,EUR_TO_USD
2011-08-04,1.4229,EUR_TO_USD
2011-08-05,1.4155,EUR_TO_USD
2011-08-08,1.4225,EUR_TO_USD
2011-08-09,1.4267,EUR_TO_USD
2011-08-10,1.4367,EUR_TO_USD
2011-08-11,1.4143,EUR_TO_USD
2011-08-12,1.425,EUR_TO_USD
2011-08-15,1.4309,EUR_TO_USD
2011-08-16,1.436,EUR_TO_USD
2011-08-17,1.4477,EUR_TO_USD
2011-08-18,1.4369,EUR_TO_USD
2011-08-19,1.4385,EUR_TO_USD
2011-08-22,1.4413,EUR_TO_USD
2011-08-23,1.4462,EUR_TO_USD
2011-08-24,1.4433,EUR_TO_USD
2011-08-25,1.4424,EUR_TO_USD
2011-08-26,1.4402,EUR_TO_USD
2011-08-29,1.4487,EUR_TO_USD
2011-08-30,1.4402,EUR_TO_USD
2011-08-31,1.445,EUR_TO_USD
2011-09-01,1.4285,EUR_TO_USD
2011-09-02,1.4255,EUR_TO_USD
2011-09-05,1.4126,EUR_TO_USD
2011-09-06,1.4099,EUR_TO_USD
2011-09-07,1.4036,EUR_TO_USD
2011-09-08,1.4044,EUR_TO_USD
2011-09-09,1.3817,EUR_TO_USD
2011-09-12,1.3656,EUR_TO_USD
2011-09-13,1.3645,EUR_TO_USD
2011-09-14,1.3729,EUR_TO_USD
2011-09-15,1.3795,EUR_TO_USD
2011-09-16,1.376,EUR_TO_USD
2011-09-19,1.3641,EUR_TO_USD
2011-09-20,1.371,EUR_TO_USD
2011-09-21,1.3636,EUR_TO_USD
2011-09-22,1.3448,EUR_TO_USD
2011-09-23,1.343,EUR_TO_USD
2011-09-26,1.35,EUR_TO_USD
2011-09-27,1.3579,EUR_TO_USD
2011-09-28,1.3631,EUR_TO_USD
2011-09-29,1.3615,EUR_TO_USD
2011-09-30,1.3503,EUR_TO_USD
2011-10-03,1.3327,EUR_TO_USD
2011-10-04,1.3181,EUR_TO_USD
2011-10-05,1.3337,EUR_TO_USD
2011-10-06,1.3269,EUR_TO_USD
2011-10-07,1.3434,EUR_TO_USD
2011-10-10,1.3593,EUR_TO_USD
2011-10-11,1.3607,EUR_TO_USD
2011-10-12,1.3766,EUR_TO_USD
2011-10-13,1.3727,EUR_TO_USD
2011-10-14,1.3807,EUR_TO_USD
2011-10-17,1.3776,EUR_TO_USD
2011-10-18,1.3676,EUR_TO_USD
2011-10-19,1.3828,EUR_TO_USD
2011-10-20,1.3807,EUR_TO_USD
2011-10-21,1.3798,EUR_TO_USD
2011-10-24,1.3856,EUR_TO_USD
2011-10-25,1.3918,EUR_TO_USD
2011-10-26,1.3927,EUR_TO_USD
2011-10-27,1.4038,EUR_TO_USD
2011-10-28,1.416,EUR_TO_USD
2011-10-31,1.4001,EUR_TO_USD
2011-11-01,1.3627,EUR_TO_USD
2011-11-02,1.3809,EUR_TO_USD
2011-11-03,1.3773,EUR_TO_USD
2011-11-04,1.3773,EUR_TO_USD
2011-11-07,1.3742,EUR_TO_USD
2011-11-08,1.3788,EUR_TO_USD
2011-11-09,1.3633,EUR_TO_USD
2011-11-10,1.3616,EUR_TO_USD
2011-11-11,1.365,EUR_TO_USD
2011-11-14,1.3659,EUR_TO_USD
2011-11-15,1.3532,EUR_TO_USD
2011-11-16,1.3484,EUR_TO_USD
2011-11-17,1.348,EUR_TO_USD
